ID	Freq	Len	Word
[187]	64	1	邻	
[188]	131	1	翁	
[189]	64	1	唤	
[190]	4	1	赛	
[191]	142	1	神	
[192]	292	1	枝	
[193]	433	1	头	
[194]	200	1	鸣	
[195]	31	1	布	
[196]	121	1	谷	
[197]	58	1	塞	
[198]	409	1	三	
[199]	602	1	千	
[200]	596	1	里	
[201]	915	1	天	
[202]	255	1	十	
[203]	78	1	骨	
[204]	441	1	出	
[205]	245	1	龙	
[206]	455	1	门	
[207]	339	1	复	
[208]	363	1	入	
[209]	301	1	望	
[210]	614	1	君	
[211]	517	1	可	
[212]	180	1	怜	
[213]	266	1	鸟	
[214]	372	1	尽	
[215]	146	1	斜	
[216]	8	1	曛	
[217]	7	1	岘	
[218]	74	1	奇	
[219]	48	1	境	
[220]	26	1	饶	
[221]	113	1	洞	
[222]	97	1	藏	
[223]	309	1	幽	
[224]	173	1	寻	
[225]	146	1	但	
[226]	69	1	借	
[227]	51	1	玄	
[228]	61	1	猿	
[229]	121	1	宿	
[230]	102	1	虽	
[231]	33	1	适	
[232]	113	1	口	
[233]	58	1	味	
[234]	63	1	暖	
[235]	87	1	功	
[236]	68	1	比	
[237]	25	1	菜	
[238]	134	1	登	
[239]	88	1	盘	
[240]	484	1	多	
[241]	17	1	逆	
[242]	56	1	耳	
[243]	253	1	海	
[244]	292	1	孤	
[245]	72	1	帆	
[246]	75	1	交	
[247]	28	1	杂	
[248]	473	1	树	
[249]	95	1	美	
[250]	2165	1	人	
[251]	167	1	晓	
[252]	122	1	眠	
[253]	370	1	更	
[254]	594	1	在	
[255]	487	1	林	
[256]	369	1	远	
[257]	502	1	客	
[258]	43	1	厌	
[259]	63	1	征	
[260]	382	1	路	
[261]	178	1	逢	
[262]	90	1	素	
[263]	851	1	秋	
[264]	809	1	知	
[265]	727	1	夜	
[266]	280	1	照	
[267]	320	1	几	
[268]	302	1	愁	
[269]	73	1	昨	
[270]	168	1	至	
[271]	171	1	庭	
[272]	419	1	前	
[273]	621	1	落	
[274]	372	1	叶	
[275]	172	1	遥	
[276]	585	1	未	
[277]	687	1	相	
[278]	707	1	见	
[279]	461	1	欲	
[280]	863	1	如	
[281]	1283	1	何	
[282]	10	1	趺	
[283]	86	1	傍	
[284]	138	1	根	
[285]	64	1	圆	
[286]	627	1	空	
[287]	5	1	慧	
[288]	52	1	性	
[289]	51	1	存	
[290]	48	1	法	
[291]	231	1	华	
[292]	19	1	堆	
[293]	215	1	难	
[294]	434	1	与	
[295]	240	1	世	
[296]	81	1	论	
[297]	272	1	游	
[298]	236	1	仙	
[299]	316	1	梦	
[300]	747	1	清	
[301]	98	1	观	
[302]	14	1	恍	
[303]	67	1	瑶	
[304]	180	1	台	
[305]	187	1	临	
[306]	177	1	共	
[307]	37	1	攀	
[308]	25	1	玩	
[309]	8	1	扪	
[310]	55	1	萝	
[311]	34	1	省	
[312]	176	1	所	
[313]	56	1	历	
[314]	165	1	忽	
[315]	68	1	鸿	
[316]	13	1	值	
[317]	484	1	万	
[318]	72	1	羽	
[319]	16	1	超	
[320]	153	1	绝	
[321]	224	1	柳	
[322]	113	1	州	
[323]	6	1	粗	
[324]	151	1	疏	
[325]	16	1	郑	
[326]	254	1	诗	
[327]	34	1	扁	
[328]	279	1	舟	
[329]	100	1	钓	
[330]	181	1	曾	
[331]	779	1	时	
[332]	149	1	解	
[333]	28	1	追	
[334]	22	1	尤	
[335]	266	1	非	
[336]	23	1	治	
[337]	35	1	郡	
[338]	80	1	才	
[339]	132	1	鹤	
[340]	48	1	怨	
[341]	44	1	怪	
[342]	238	1	两	
[343]	4	1	鹑	
[344]	292	1	小	
[345]	12	1	啄	
[346]	29	1	粟	
[347]	41	1	肥	
[348]	155	1	沙	
[349]	697	1	寒	
[350]	82	1	栖	
[351]	113	1	定	
[352]	334	1	起	
[353]	270	1	向	
[354]	460	1	南	
[355]	100	1	折	
[356]	222	1	者	
[357]	189	1	随	
[358]	19	1	蜂	
[359]	62	1	蝶	
[360]	273	1	思	
[361]	18	1	量	
[362]	30	1	妨	
[363]	98	1	底	
[364]	425	1	事	
[365]	39	1	蕊	
[366]	19	1	续	
[367]	94	1	荒	
[368]	101	1	渔	
[369]	39	1	竞	
[370]	38	1	泊	
[371]	13	1	沽	
[372]	18	1	邀	
[373]	398	1	烟	
[374]	189	1	真	
[375]	158	1	乐	
[376]	66	1	壑	
[377]	402	1	亦	
[378]	224	1	安	
[379]	69	1	桂	
[380]	343	1	道	
[381]	96	1	偶	
[382]	180	1	之	
[383]	272	1	岁	
[384]	492	1	色	
[385]	202	1	醉	
[386]	46	1	痕	
[387]	227	1	边	
[388]	376	1	溪	
[389]	500	1	声	
[390]	84	1	枕	
[391]	193	1	旧	
[392]	401	1	已	
[393]	272	1	别	
[394]	143	1	经	
[395]	129	1	村	
[396]	160	1	送	
[397]	112	1	佳	
[398]	69	1	乾	
[399]	38	1	坤	
[400]	398	1	老	
[401]	152	1	曲	
[402]	81	1	逐	
[403]	43	1	峡	
[404]	297	1	松	
[405]	123	1	径	
[406]	192	1	凉	
[407]	83	1	岭	
[408]	117	1	合	
[409]	375	1	西	
[410]	11	1	尖	
[411]	150	1	手	
[412]	413	1	新	
[413]	19	1	抽	
[414]	178	1	数	
[415]	46	1	寸	
[416]	62	1	条	
[417]	30	1	殷	
[418]	59	1	勤	
[419]	751	1	雨	
[420]	275	1	露	
[421]	35	1	霄	
[422]	69	1	乌	
[423]	318	1	衣	
[424]	29	1	巷	
[425]	97	1	燕	
[426]	31	1	矶	
[427]	93	1	川	
[428]	63	1	仍	
[429]	127	1	昔	
[430]	10	1	灶	
[431]	143	1	乱	
[432]	55	1	凭	
[433]	238	1	湖	
[434]	44	1	渺	
[435]	121	1	岸	
[436]	238	1	阴	
[437]	39	1	就	
[438]	148	1	残	
[439]	126	1	点	
[440]	31	1	絮	
[441]	77	1	伴	
[442]	658	1	去	
[443]	131	1	种	
[444]	110	1	莲	
[445]	17	1	巳	
[446]	65	1	没	
[447]	86	1	镜	
[448]	28	1	改	
[449]	88	1	帘	
[450]	156	1	垂	
[451]	17	1	幕	
[452]	228	1	半	
[453]	87	1	卷	
[454]	140	1	冷	
[455]	47	1	被	
[456]	726	1	为	
[457]	54	1	魂	
[458]	350	1	过	
[459]	63	1	潇	
[460]	113	1	湘	
[461]	103	1	步	
[462]	334	1	阳	
[463]	186	1	四	
[464]	130	1	悠	
[465]	46	1	哉	
[466]	349	1	莫	
[467]	341	1	黄	
[468]	76	1	昏	
[469]	97	1	会	
[470]	620	1	明	
[471]	195	1	少	
[472]	29	1	伯	
[473]	168	1	居	
[474]	11	1	螺	
[475]	7	1	纹	
[476]	53	1	彩	
[477]	4	1	奁	
[478]	320	1	犹	
[479]	29	1	施	
[480]	502	1	行	
[481]	99	1	惜	
[482]	180	1	轻	
[483]	153	1	离	
[484]	277	1	吹	
[485]	62	1	蒲	
[486]	18	1	苇	
[487]	74	1	丛	
[488]	77	1	及	
[489]	238	1	当	
[490]	120	1	早	
[491]	23	1	湛	
[492]	6	1	滓	
[493]	81	1	绕	
[494]	13	1	砌	
[495]	20	1	彻	
[496]	99	1	浪	
[497]	711	1	生	
[498]	20	1	萦	
[499]	7	1	纡	
[500]	43	1	支	
[501]	202	1	公	
[502]	21	1	销	
[503]	68	1	夏	
[504]	219	1	五	
[505]	265	1	晚	
[506]	17	1	宠	
[507]	92	1	悲	
[508]	48	1	扇	
[509]	65	1	恩	
[510]	124	1	寄	
[511]	100	1	聊	
[512]	31	1	题	
[513]	127	1	片	
[514]	48	1	接	
[515]	121	1	和	
[516]	13	1	戎	
[517]	140	1	汉	
[518]	18	1	妃	
[519]	25	1	亡	
[520]	77	1	吴	
[521]	38	1	越	
[522]	30	1	鬼	
[523]	83	1	妾	
[524]	24	1	赐	
[525]	51	1	臣	
[526]	25	1	孰	
[527]	45	1	受	
[528]	16	1	卢	
[529]	17	1	弓	
[530]	6	1	矢	
[531]	49	1	寿	
[532]	39	1	延	
[533]	65	1	理	
[534]	13	1	医	
[535]	108	1	死	
[536]	58	1	忧	
[537]	5	1	髓	
[538]	48	1	畏	
[539]	25	1	膏	
[540]	2	1	肓	
[541]	3	1	楞	
[542]	4	1	伽	
[543]	5	1	择	
[544]	40	1	弟	
[545]	21	1	班	
[546]	24	1	宗	
[547]	98	1	宜	
[548]	39	1	宅	
[549]	200	1	馀	
[550]	22	1	韵	
[551]	11	1	舂	
[552]	114	1	容	
[553]	158	1	太	
[554]	7	1	辅	
[555]	32	1	严	
[556]	405	1	东	
[557]	31	1	京	
[558]	395	1	独	
[559]	8	1	汾	
[560]	226	1	亭	
[561]	236	1	名	
[562]	152	1	园	
[563]	101	1	直	
[564]	84	1	挂	
[565]	37	1	广	
[566]	122	1	陵	
[567]	56	1	禽	
[568]	128	1	雁	
[569]	150	1	乡	
[570]	312	1	闻	
[571]	13	1	蛩	
[572]	40	1	织	
[573]	42	1	妇	
[574]	190	1	笑	
[575]	242	1	语	
[576]	589	1	谁	
[577]	176	1	微	
[578]	138	1	度	
[579]	125	1	急	
[580]	58	1	洒	
[581]	60	1	斋	
[582]	133	1	散	
[583]	14	1	飙	
[584]	48	1	泠	
[585]	304	1	然	
[586]	369	1	金	
[587]	80	1	音	
[588]	17	1	箫	
[589]	14	1	韶	
[590]	52	1	衰	
[591]	102	1	渡	
[592]	17	1	赵	
[593]	29	1	围	
[594]	201	1	物	
[595]	147	1	常	
[596]	53	1	涛	
[597]	13	1	胆	
[598]	101	1	阁	
[599]	49	1	渚	
[600]	4	1	瀼	
[601]	149	1	怀	
[602]	5	1	郢	
[603]	25	1	唱	
[604]	68	1	枯	
[605]	101	1	杨	
[606]	285	1	大	
[607]	50	1	堤	
[608]	6	1	鸲	
[609]	7	1	鹆	
[610]	6	1	窠	
[611]	104	1	使	
[612]	51	1	武	
[613]	160	1	王	
[614]	111	1	士	
[615]	63	1	俱	
[616]	132	1	学	
[617]	65	1	佛	
[618]	196	1	以	
[619]	6	1	财	
[620]	41	1	供	
[621]	25	1	费	
[622]	41	1	滩	
[623]	68	1	荡	
[624]	17	1	桨	
[625]	39	1	卿	
[626]	112	1	休	
[627]	99	1	恨	
[628]	42	1	津	
[629]	8	1	垄	
[630]	62	1	泥	
[631]	5	1	秧	
[632]	33	1	宽	
[633]	14	1	箔	
[634]	143	1	因	
[635]	69	1	最	
[636]	318	1	能	
[637]	88	1	教	
[638]	468	1	作	
[639]	84	1	便	
[640]	70	1	杀	
[641]	148	1	灯	
[642]	28	1	荆	
[643]	213	1	歌	
[644]	51	1	艳	
[645]	113	1	楚	
[646]	50	1	腰	
[647]	168	1	采	
[648]	257	1	从	
[649]	19	1	惯	
[650]	88	1	即	
[651]	107	1	乘	
[652]	72	1	潮	
[653]	242	1	暮	
[654]	15	1	规	
[655]	75	1	谢	
[656]	85	1	俗	
[657]	80	1	缘	
[658]	15	1	僻	
[659]	13	1	耽	
[660]	42	1	赏	
[661]	212	1	后	
[662]	206	1	苍	
[663]	59	1	冥	
[664]	196	1	夕	
[665]	31	1	汀	
[666]	61	1	洲	
[667]	42	1	歇	
[668]	55	1	虎	
[669]	51	1	闭	
[670]	45	1	投	
[671]	46	1	黑	
[672]	9	1	欹	
[673]	65	1	危	
[674]	35	1	叟	
[675]	193	1	爱	
[676]	31	1	怕	
[677]	6	1	恕	
[678]	798	1	白	
[679]	357	1	满	
[680]	32	1	酌	
[681]	45	1	侧	
[682]	35	1	狂	
[683]	74	1	舞	
[684]	91	1	必	
[685]	124	1	待	
[686]	73	1	鸡	
[687]	57	1	频	
[688]	132	1	兴	
[689]	62	1	层	
[690]	8	1	担	
[691]	3	1	曼	
[692]	140	1	隐	
[693]	2	1	骡	
[694]	9	1	嘶	
[695]	88	1	芙	
[696]	80	1	蓉	
[697]	69	1	迷	
[698]	26	1	庵	
[699]	45	1	宇	
[700]	17	1	宙	
[701]	9	1	介	
[702]	27	1	珍	
[703]	42	1	纤	
[704]	18	1	埃	
[705]	63	1	赤	
[706]	30	1	脉	
[707]	17	1	翳	
[708]	6	1	忌	
[709]	31	1	侵	
[710]	134	1	眼	
[711]	32	1	血	
[712]	4	1	救	
[713]	7	1	疗	
[714]	16	1	拳	
[715]	541	1	石	
[716]	5	1	峥	
[717]	5	1	嵘	
[718]	86	1	伤	
[719]	14	1	襄	
[720]	22	1	习	
[721]	184	1	池	
[722]	146	1	听	
[723]	31	1	铜	
[724]	5	1	鞮	
[725]	73	1	收	
[726]	163	1	桥	
[727]	53	1	凌	
[728]	88	1	纷	
[729]	14	1	萼	
[730]	15	1	智	
[731]	287	1	到	
[732]	137	1	带	
[733]	5	1	歧	
[734]	21	1	怯	
[735]	10	1	悄	
[736]	144	1	本	
[737]	38	1	瘦	
[738]	106	1	翻	
[739]	38	1	环	
[740]	49	1	泽	
[741]	3	1	臞	
[742]	203	1	分	
[743]	63	1	樵	
[744]	46	1	席	
[745]	8	1	践	
[746]	51	1	斯	
[747]	63	1	肯	
[748]	44	1	兹	
[749]	19	1	菱	
[750]	2	1	芡	
[751]	20	1	稻	
[752]	12	1	粱	
[753]	90	1	争	
[754]	176	1	静	
[755]	19	1	湾	
[756]	61	1	失	
[757]	28	1	侣	
[758]	4	1	蹙	
[759]	4	1	稠	
[760]	68	1	响	
[761]	3	1	麇	
[762]	132	1	其	
[763]	323	1	间	
[764]	24	1	伏	
[765]	90	1	息	
[766]	351	1	地	
[767]	13	1	蚤	
[768]	215	1	窗	
[769]	27	1	访	
[770]	182	1	寂	
[771]	32	1	巢	
[772]	11	1	专	
[773]	42	1	暂	
[774]	21	1	谪	
[775]	141	1	岂	
[776]	6	1	蹉	
[777]	6	1	跎	
[778]	9	1	恻	
[779]	8	1	怆	
[780]	231	1	情	
[781]	92	1	欢	
[782]	14	1	萱	
[783]	96	1	信	
[784]	18	1	萋	
[785]	25	1	特	
[786]	127	1	国	
[787]	19	1	昭	
[788]	12	1	宸	
[789]	81	1	极	
[790]	45	1	张	
[791]	99	1	始	
[792]	272	1	外	
[793]	26	1	辰	
[794]	23	1	驰	
[795]	379	1	朝	
[796]	7	1	鲛	
[797]	51	1	泣	
[798]	45	1	凄	
[799]	64	1	寥	
[800]	90	1	穷	
[801]	66	1	掩	
[802]	32	1	扉	
[803]	72	1	庐	
[804]	68	1	全	
[805]	18	1	怒	
[806]	46	1	熟	
[807]	15	1	畦	
[808]	136	1	往	
[809]	72	1	干	
[810]	6	1	霸	
[811]	14	1	傅	
[812]	60	1	封	
[813]	52	1	侯	
[814]	28	1	刀	
[815]	45	1	兵	
[816]	145	1	用	
[817]	83	1	力	
[818]	26	1	达	
[819]	11	1	瘴	
[820]	131	1	泪	
[821]	116	1	令	
[822]	61	1	药	
[823]	107	1	细	
[824]	36	1	辛	
[825]	61	1	并	
[826]	9	1	犀	
[827]	63	1	角	
[828]	21	1	决	
[829]	99	1	移	
[830]	53	1	除	
[831]	32	1	巾	
[832]	125	1	卧	
[833]	82	1	恐	
[834]	44	1	遇	
[835]	72	1	井	
[836]	13	1	橘	
[837]	146	1	依	
[838]	5	1	堑	
[839]	44	1	覆	
[840]	152	1	屋	
[841]	20	1	晏	
[842]	64	1	修	
[843]	228	1	双	
[844]	9	1	雌	
[845]	45	1	雄	
[846]	6	1	婉	
[847]	17	1	辽	
[848]	74	1	洗	
[849]	10	1	琵	
[850]	10	1	琶	
[851]	74	1	罢	
[852]	15	1	朽	
[853]	39	1	调	
[854]	21	1	羹	
[855]	157	1	隔	
[856]	22	1	楫	
[857]	41	1	梢	
[858]	146	1	河	
[859]	344	1	光	
[860]	12	1	赊	
[861]	21	1	贱	
[862]	8	1	震	
[863]	11	1	位	
[864]	212	1	木	
[865]	77	1	胡	
[866]	71	1	帝	
[867]	14	1	芽	
[868]	10	1	宰	
[869]	86	1	抱	
[870]	26	1	瓮	
[871]	85	1	车	
[872]	246	1	马	
[873]	55	1	鸥	
[874]	219	1	对	
[875]	99	1	机	
[876]	110	1	官	
[877]	35	1	脱	
[878]	3	1	囚	
[879]	55	1	感	
[880]	12	1	戴	
[881]	7	1	仇	
[882]	31	1	史	
[883]	72	1	乃	
[884]	72	1	实	
[885]	176	1	却	
[886]	18	1	逃	
[887]	72	1	报	
[888]	13	1	雠	
[889]	95	1	湿	
[890]	12	1	皓	
[891]	101	1	含	
[892]	243	1	碧	
[893]	22	1	嶂	
[894]	6	1	龛	
[895]	265	1	影	
[896]	45	1	灭	
[897]	36	1	藤	
[898]	59	1	禅	
[899]	8	1	琳	
[900]	26	1	琅	
[901]	33	1	岳	
[902]	59	1	顶	
[903]	2	1	嗒	
[904]	151	1	尔	
[905]	66	1	求	
[906]	27	1	颠	
[907]	19	1	戒	
[908]	27	1	进	
[909]	71	1	取	
[910]	20	1	肃	
[911]	35	1	恶	
[912]	23	1	旦	
[913]	103	1	那	
[914]	111	1	荷	
[915]	14	1	芰	
[916]	117	1	横	
[917]	75	1	塘	
[918]	229	1	吾	
[919]	20	1	制	
[920]	42	1	裳	
[921]	25	1	瑞	
[922]	26	1	芬	
[923]	120	1	住	
[924]	46	1	渠	
[925]	20	1	顷	
[926]	50	1	阔	
[927]	12	1	藻	
[928]	11	1	荇	
[929]	8	1	篙	
[930]	89	1	景	
[931]	29	1	挥	
[932]	38	1	毫	
[933]	49	1	想	
[934]	17	1	像	
[935]	44	1	沈	
[936]	160	1	郎	
[937]	27	1	压	
[938]	132	1	啼	
[939]	30	1	甚	
[940]	44	1	嗟	
[941]	22	1	晋	
[942]	68	1	圣	
[943]	2	1	隋	
[944]	40	1	策	
[945]	262	1	平	
[946]	31	1	或	
[947]	29	1	疾	
[948]	89	1	户	
[949]	38	1	袖	
[950]	133	1	倚	
[951]	107	1	暗	
[952]	12	1	联	
[953]	14	1	璧	
[954]	7	1	珰	
[955]	11	1	陟	
[956]	47	1	阿	
[957]	31	1	芝	
[958]	192	1	浮	
[959]	90	1	涧	
[960]	27	1	拾	
[961]	236	1	野	
[962]	4	1	碓	
[963]	63	1	竟	
[964]	4	1	脑	
[965]	11	1	栗	
[966]	18	1	夺	
[967]	11	1	葵	
[968]	3	1	藿	
[969]	37	1	倾	
[970]	122	1	节	
[971]	227	1	芳	
[972]	101	1	饮	
[973]	15	1	吞	
[974]	25	1	奴	
[975]	7	1	羯	
[976]	36	1	盛	
[977]	9	1	饷	
[978]	6	1	狸	
[979]	57	1	勿	
[980]	269	1	问	
[981]	64	1	守	
[982]	27	1	蹄	
[983]	9	1	濑	
[984]	28	1	墓	
[985]	30	1	畔	
[986]	28	1	蕉	
[987]	117	1	传	
[988]	69	1	笔	
[989]	17	1	芭	
[990]	59	1	房	
[991]	53	1	扬	
[992]	3	1	奥	
[993]	66	1	谓	
[994]	52	1	参	
[995]	68	1	了	
[996]	76	1	都	
[997]	4	1	俸	
[998]	59	1	钱	
[999]	54	1	妙	
[1000]	22	1	坚	
[1001]	57	1	侬	
[1002]	21	1	蓑	
[1003]	3	1	詹	
[1004]	10	1	舫	
[1005]	227	1	峰	
[1006]	86	1	寺	
[1007]	138	1	疑	
[1008]	81	1	锦	
[1009]	17	1	障	
[1010]	107	1	群	
[1011]	46	1	各	
[1012]	27	1	娇	
[1013]	17	1	粲	
[1014]	213	1	若	
[1015]	56	1	绣	
[1016]	141	1	于	
[1017]	26	1	焉	
[1018]	13	1	逍	
[1019]	58	1	阶	
[1020]	28	1	祗	
[1021]	61	1	宵	
[1022]	47	1	系	
[1023]	16	1	座	
[1024]	43	1	冠	
[1025]	60	1	市	
[1026]	39	1	鹿	
[1027]	58	1	柴	
[1028]	46	1	阑	
[1029]	114	1	首	
[1030]	4	1	悭	
[1031]	29	1	纸	
[1032]	17	1	番	
[1033]	15	1	剩	
[1034]	4	1	哑	
[1035]	150	1	儿	
[1036]	46	1	差	
[1037]	15	1	次	
[1038]	2	1	扳	
[1039]	305	1	回	
[1040]	8	1	秃	
[1041]	248	1	发	
[1042]	5	1	乖	
[1043]	11	1	阻	
[1044]	26	1	贪	
[1045]	102	1	食	
[1046]	18	1	等	
[1047]	32	1	饥	
[1048]	6	1	鹰	
[1049]	25	1	酣	
[1050]	41	1	饱	
[1051]	125	1	转	
[1052]	8	1	徙	
[1053]	32	1	院	
[1054]	103	1	弄	
[1055]	140	1	船	
[1056]	30	1	笼	
[1057]	139	1	岩	
[1058]	3	1	帔	
[1059]	2	1	氅	
[1060]	17	1	裙	
[1061]	13	1	衫	
[1062]	29	1	维	
[1063]	21	1	降	
[1064]	29	1	蒙	
[1065]	6	1	稼	
[1066]	2	1	芃	
[1067]	57	1	殊	
[1068]	12	1	域	
[1069]	60	1	内	
[1070]	28	1	胸	
[1071]	141	1	女	
[1072]	30	1	徘	
[1073]	31	1	徊	
[1074]	31	1	瀑	
[1075]	15	1	掷	
[1076]	65	1	杖	
[1077]	44	1	丘	
[1078]	192	1	楼	
[1079]	136	1	文	
[1080]	8	1	隘	
[1081]	150	1	九	
[1082]	42	1	沾	
[1083]	2	1	霈	
[1084]	45	1	幸	
[1085]	62	1	际	
[1086]	68	1	皇	
[1087]	21	1	雅	
[1088]	58	1	友	
[1089]	40	1	府	
[1090]	32	1	程	
[1091]	48	1	耕	
[1092]	92	1	映	
[1093]	17	1	假	
[1094]	44	1	佩	
[1095]	73	1	银	
[1096]	86	1	端	
[1097]	12	1	缺	
[1098]	11	1	衾	
[1099]	8	1	胶	
[1100]	17	1	司	
[1101]	52	1	晨	
[1102]	13	1	旭	
[1103]	44	1	恋	
[1104]	18	1	凫	
[1105]	6	1	鹄	
[1106]	36	1	馆	
[1107]	77	1	试	
[1108]	16	1	绵	
[1109]	105	1	火	
[1110]	170	1	萧	
[1111]	80	1	浅	
[1112]	75	1	把	
[1113]	28	1	浣	
[1114]	38	1	纱	
[1115]	25	1	礼	
[1116]	56	1	七	
[1117]	38	1	表	
[1118]	54	1	郭	
[1119]	52	1	象	
[1120]	42	1	纵	
[1121]	82	1	目	
[1122]	61	1	涯	
[1123]	104	1	破	
[1124]	495	1	看	
[1125]	118	1	胜	
[1126]	55	1	室	
[1127]	38	1	襟	
[1128]	88	1	念	
[1129]	66	1	汝	
[1130]	29	1	壮	
[1131]	24	1	曹	
[1132]	29	1	烦	
[1133]	12	1	术	
[1134]	8	1	姜	
[1135]	15	1	屿	
[1136]	80	1	浦	
[1137]	40	1	漾	
[1138]	222	1	鱼	
[1139]	25	1	舒	
[1140]	52	1	浑	
[1141]	28	1	妒	
[1142]	22	1	妍	
[1143]	34	1	烛	
[1144]	49	1	顾	
[1145]	18	1	左	
[1146]	12	1	右	
[1147]	34	1	列	
[1148]	79	1	图	
[1149]	8	1	哲	
[1150]	18	1	振	
[1151]	16	1	旱	
[1152]	24	1	酬	
[1153]	42	1	叹	
[1154]	120	1	僧	
[1155]	58	1	迎	
[1156]	69	1	扫	
[1157]	13	1	闾	
[1158]	22	1	纶	
[1159]	59	1	雾	
[1160]	3	1	廛	
[1161]	6	1	给	
[1162]	29	1	餐	
[1163]	15	1	遭	
[1164]	36	1	弹	
[1165]	15	1	寓	
[1166]	51	1	形	
[1167]	28	1	造	
[1168]	15	1	乎	
[1169]	45	1	弦	
[1170]	59	1	暑	
[1171]	39	1	霭	
[1172]	25	1	蛟	
[1173]	135	1	冰	
[1174]	22	1	灰	
[1175]	102	1	凤	
[1176]	45	1	管	
[1177]	27	1	付	
[1178]	50	1	夷	
[1179]	39	1	兄	
[1180]	75	1	由	
[1181]	22	1	慰	
[1182]	46	1	啸	
