ID	Freq	Item
[633]	112	休
[634]	99	恨
[635]	42	津
[636]	8	垄
[637]	62	泥
[638]	5	秧
[639]	33	宽
[640]	14	箔
[641]	143	因
[642]	69	最
[643]	318	能
[644]	88	教
[645]	468	作
[646]	84	便
[647]	70	杀
[648]	148	灯
[649]	28	荆
[650]	213	歌
[651]	51	艳
[652]	113	楚
[653]	50	腰
[654]	168	采
[655]	257	从
[656]	19	惯
[657]	88	即
[658]	107	乘
[659]	72	潮
[660]	242	暮
[661]	15	规
[662]	75	谢
[663]	85	俗
[664]	80	缘
[665]	15	僻
[666]	13	耽
[667]	42	赏
[668]	212	后
[669]	206	苍
[670]	59	冥
[671]	196	夕
[672]	31	汀
[673]	61	洲
[674]	42	歇
[675]	55	虎
[676]	51	闭
[677]	45	投
[678]	46	黑
[679]	9	欹
[680]	65	危
[681]	35	叟
[682]	193	爱
[683]	31	怕
[684]	6	恕
[685]	798	白
[686]	357	满
[687]	32	酌
[688]	45	侧
[689]	35	狂
[690]	74	舞
[691]	91	必
[692]	124	待
[693]	73	鸡
[694]	57	频
[695]	132	兴
[696]	62	层
[697]	8	担
[698]	3	曼
[699]	140	隐
[700]	2	骡
[701]	9	嘶
[702]	88	芙
[703]	80	蓉
[704]	69	迷
[705]	26	庵
[706]	45	宇
[707]	17	宙
[708]	9	介
[709]	27	珍
[710]	42	纤
[711]	18	埃
[712]	63	赤
[713]	30	脉
[714]	17	翳
[715]	6	忌
[716]	31	侵
[717]	1	睛
[718]	134	眼
[719]	32	血
[720]	4	救
[721]	7	疗
[722]	16	拳
[723]	541	石
[724]	5	峥
[725]	5	嵘
[726]	86	伤
[727]	14	襄
[728]	22	习
[729]	184	池
[730]	146	听
[731]	31	铜
[732]	5	鞮
[733]	73	收
[734]	163	桥
[735]	53	凌
[736]	88	纷
[737]	14	萼
[738]	15	智
[739]	287	到
[740]	1	诠
[741]	137	带
[742]	5	歧
[743]	21	怯
[744]	10	悄
[745]	144	本
[746]	38	瘦
[747]	106	翻
[748]	38	环
[749]	49	泽
[750]	3	臞
[751]	203	分
[752]	63	樵
[753]	46	席
[754]	8	践
[755]	51	斯
[756]	63	肯
[757]	44	兹
[758]	19	菱
[759]	2	芡
[760]	20	稻
[761]	12	粱
[762]	90	争
[763]	176	静
[764]	19	湾
[765]	61	失
[766]	28	侣
[767]	4	蹙
[768]	4	稠
[769]	68	响
[770]	3	麇
[771]	1	麚
[772]	1	囿
[773]	132	其
[774]	323	间
[775]	1	攸
[776]	24	伏
[777]	90	息
[778]	351	地
[779]	13	蚤
[780]	215	窗
[781]	27	访
[782]	182	寂
[783]	32	巢
[784]	11	专
[785]	42	暂
[786]	21	谪
[787]	141	岂
[788]	6	蹉
[789]	6	跎
[790]	9	恻
[791]	8	怆
[792]	231	情
[793]	92	欢
[794]	1	恚
[795]	14	萱
[796]	96	信
[797]	18	萋
[798]	25	特
[799]	127	国
[800]	19	昭
[801]	12	宸
[802]	81	极
[803]	45	张
[804]	99	始
[805]	272	外
[806]	26	辰
[807]	23	驰
[808]	379	朝
[809]	7	鲛
[810]	51	泣
[811]	45	凄
[812]	64	寥
[813]	90	穷
[814]	66	掩
[815]	32	扉
[816]	72	庐
[817]	68	全
[818]	18	怒
[819]	46	熟
[820]	15	畦
[821]	136	往
[822]	72	干
[823]	6	霸
[824]	14	傅
[825]	60	封
[826]	52	侯
[827]	1	癸
[828]	28	刀
[829]	45	兵
[830]	145	用
[831]	83	力
[832]	26	达
[833]	11	瘴
[834]	131	泪
[835]	116	令
[836]	61	药
[837]	107	细
[838]	36	辛
[839]	61	并
[840]	9	犀
[841]	63	角
[842]	21	决
[843]	99	移
[844]	53	除
[845]	32	巾
[846]	125	卧
[847]	82	恐
[848]	44	遇
[849]	72	井
[850]	13	橘
[851]	146	依
[852]	5	堑
[853]	44	覆
[854]	152	屋
[855]	20	晏
[856]	64	修
[857]	228	双
[858]	9	雌
[859]	45	雄
[860]	6	婉
[861]	1	娈
[862]	17	辽
[863]	74	洗
[864]	10	琵
[865]	10	琶
[866]	74	罢
[867]	1	阏
[868]	1	郏
[869]	1	鄏
[870]	15	朽
[871]	39	调
[872]	21	羹
[873]	157	隔
[874]	22	楫
[875]	41	梢
[876]	146	河
[877]	344	光
[878]	12	赊
[879]	21	贱
[880]	8	震
[881]	11	位
[882]	212	木
[883]	77	胡
[884]	71	帝
[885]	14	芽
[886]	10	宰
[887]	86	抱
[888]	26	瓮
[889]	85	车
[890]	246	马
[891]	55	鸥
[892]	219	对
[893]	99	机
[894]	110	官
[895]	35	脱
[896]	3	囚
[897]	55	感
[898]	12	戴
[899]	7	仇
[900]	31	史
[901]	72	乃
[902]	72	实
[903]	176	却
[904]	18	逃
[905]	72	报
[906]	13	雠
[907]	95	湿
[908]	12	皓
[909]	101	含
[910]	243	碧
[911]	22	嶂
[912]	6	龛
[913]	265	影
[914]	45	灭
[915]	36	藤
[916]	59	禅
[917]	8	琳
[918]	26	琅
[919]	33	岳
[920]	59	顶
[921]	2	嗒
[922]	151	尔
[923]	66	求
[924]	27	颠
[925]	1	隮
[926]	19	戒
[927]	27	进
[928]	71	取
[929]	20	肃
[930]	35	恶
[931]	1	噫
[932]	23	旦
[933]	103	那
[934]	111	荷
[935]	14	芰
[936]	117	横
[937]	75	塘
[938]	229	吾
[939]	20	制
[940]	42	裳
[941]	25	瑞
[942]	26	芬
[943]	120	住
[944]	46	渠
[945]	20	顷
[946]	50	阔
[947]	12	藻
[948]	11	荇
[949]	8	篙
[950]	89	景
[951]	29	挥
[952]	38	毫
[953]	49	想
[954]	17	像
[955]	44	沈
[956]	160	郎
[957]	27	压
[958]	132	啼
[959]	30	甚
[960]	44	嗟
[961]	22	晋
[962]	68	圣
[963]	2	隋
[964]	40	策
[965]	262	平
[966]	31	或
[967]	29	疾
[968]	89	户
[969]	38	袖
[970]	133	倚
[971]	107	暗
[972]	12	联
[973]	14	璧
[974]	7	珰
[975]	11	陟
[976]	47	阿
[977]	31	芝
[978]	192	浮
[979]	90	涧
[980]	27	拾
[981]	236	野
[982]	4	碓
[983]	63	竟
[984]	4	脑
[985]	11	栗
[986]	18	夺
[987]	11	葵
[988]	3	藿
[989]	37	倾
[990]	122	节
[991]	227	芳
[992]	101	饮
[993]	15	吞
[994]	25	奴
[995]	7	羯
[996]	36	盛
[997]	1	溲
[998]	9	饷
[999]	6	狸
[1000]	57	勿
[1001]	269	问
[1002]	64	守
[1003]	27	蹄
[1004]	9	濑
[1005]	28	墓
[1006]	30	畔
[1007]	28	蕉
[1008]	117	传
[1009]	69	笔
[1010]	17	芭
[1011]	59	房
[1012]	53	扬
[1013]	3	奥
[1014]	66	谓
[1015]	52	参
[1016]	68	了
[1017]	76	都
[1018]	4	俸
[1019]	59	钱
[1020]	54	妙
[1021]	22	坚
[1022]	57	侬
[1023]	21	蓑
[1024]	3	詹
[1025]	10	舫
[1026]	227	峰
[1027]	86	寺
[1028]	138	疑
[1029]	81	锦
[1030]	17	障
[1031]	107	群
[1032]	46	各
[1033]	27	娇
[1034]	17	粲
[1035]	213	若
[1036]	56	绣
[1037]	141	于
[1038]	26	焉
[1039]	13	逍
[1040]	58	阶
[1041]	28	祗
[1042]	61	宵
[1043]	1	豕
[1044]	47	系
[1045]	16	座
[1046]	43	冠
[1047]	60	市
[1048]	39	鹿
[1049]	58	柴
[1050]	46	阑
[1051]	114	首
[1052]	4	悭
[1053]	29	纸
[1054]	17	番
[1055]	15	剩
[1056]	4	哑
[1057]	150	儿
[1058]	46	差
[1059]	15	次
[1060]	2	扳
[1061]	305	回
[1062]	8	秃
[1063]	248	发
[1064]	5	乖
[1065]	11	阻
[1066]	26	贪
[1067]	102	食
[1068]	18	等
[1069]	32	饥
[1070]	6	鹰
[1071]	25	酣
[1072]	41	饱
[1073]	125	转
[1074]	8	徙
[1075]	32	院
[1076]	103	弄
[1077]	140	船
[1078]	30	笼
[1079]	139	岩
[1080]	3	帔
[1081]	2	氅
[1082]	17	裙
[1083]	13	衫
[1084]	29	维
[1085]	21	降
[1086]	29	蒙
[1087]	1	穑
[1088]	6	稼
[1089]	2	芃
[1090]	57	殊
[1091]	12	域
[1092]	60	内
[1093]	28	胸
[1094]	141	女
[1095]	30	徘
[1096]	31	徊
[1097]	31	瀑
[1098]	15	掷
[1099]	65	杖
[1100]	44	丘
[1101]	192	楼
[1102]	136	文
[1103]	8	隘
[1104]	150	九
[1105]	42	沾
[1106]	2	霈
[1107]	45	幸
[1108]	62	际
[1109]	68	皇
[1110]	21	雅
[1111]	58	友
[1112]	40	府
[1113]	32	程
[1114]	48	耕
[1115]	92	映
[1116]	17	假
[1117]	44	佩
[1118]	73	银
[1119]	86	端
[1120]	12	缺
[1121]	11	衾
[1122]	8	胶
[1123]	17	司
[1124]	52	晨
[1125]	13	旭
[1126]	44	恋
[1127]	18	凫
[1128]	6	鹄
[1129]	36	馆
[1130]	77	试
[1131]	16	绵
[1132]	105	火
[1133]	170	萧
[1134]	80	浅
[1135]	75	把
[1136]	28	浣
[1137]	38	纱
[1138]	25	礼
[1139]	56	七
[1140]	38	表
[1141]	54	郭
[1142]	52	象
[1143]	42	纵
[1144]	82	目
[1145]	61	涯
[1146]	104	破
[1147]	495	看
[1148]	118	胜
[1149]	55	室
[1150]	38	襟
[1151]	88	念
[1152]	66	汝
[1153]	29	壮
[1154]	24	曹
[1155]	29	烦
[1156]	12	术
[1157]	8	姜
[1158]	15	屿
[1159]	80	浦
[1160]	40	漾
[1161]	222	鱼
[1162]	25	舒
[1163]	52	浑
[1164]	28	妒
[1165]	22	妍
[1166]	34	烛
[1167]	49	顾
[1168]	18	左
[1169]	12	右
[1170]	34	列
[1171]	79	图
[1172]	8	哲
[1173]	1	欷
[1174]	1	歔
[1175]	18	振
[1176]	16	旱
[1177]	24	酬
[1178]	42	叹
[1179]	120	僧
[1180]	58	迎
[1181]	69	扫
[1182]	13	闾
[1183]	22	纶
[1184]	59	雾
[1185]	3	廛
[1186]	6	给
[1187]	29	餐
[1188]	15	遭
[1189]	36	弹
[1190]	15	寓
[1191]	51	形
[1192]	28	造
[1193]	15	乎
[1194]	45	弦
[1195]	59	暑
[1196]	39	霭
[1197]	25	蛟
[1198]	135	冰
[1199]	22	灰
[1200]	102	凤
[1201]	45	管
[1202]	27	付
[1203]	50	夷
[1204]	39	兄
[1205]	75	由
[1206]	22	慰
[1207]	46	啸
[1208]	91	遗
[1209]	8	仗
[1210]	22	裘
[1211]	221	身
[1212]	20	政
[1213]	39	养
[1214]	20	体
[1215]	73	皆
[1216]	16	顺
[1217]	87	短
[1218]	41	牵
[1219]	128	许
[1220]	135	立
[1221]	22	艇
[1222]	25	推
[1223]	23	篷
[1224]	186	断
[1225]	57	蓬
[1226]	71	飘
[1227]	29	热
[1228]	50	奈
[1229]	27	致
[1230]	22	爽
[1231]	22	柯
[1232]	30	工
[1233]	49	遍
[1234]	23	柔
[1235]	52	踏
[1236]	48	喧
[1237]	26	陌
[1238]	48	举
[1239]	7	婿
[1240]	54	泛
[1241]	52	淮
[1242]	23	闺
[1243]	66	师
[1244]	11	铭
[1245]	85	说
[1246]	19	伊
[1247]	38	惭
[1248]	32	苏
[1249]	28	置
[1250]	15	简
[1251]	3	牍
[1252]	35	予
[1253]	7	慵
[1254]	80	劳
[1255]	15	汗
[1256]	20	昆
[1257]	17	涨
[1258]	4	瞩
[1259]	20	虞
[1260]	16	旌
[1261]	58	墨
[1262]	3	娉
[1263]	5	婷
[1264]	37	代
[1265]	28	藜
[1266]	19	莽
[1267]	9	疲
[1268]	94	病
[1269]	2	荏
[1270]	8	胥
[1271]	22	龟
[1272]	5	哥
[1273]	6	吉
[1274]	65	李
[1275]	39	姿
[1276]	1	屺
[1277]	12	陪
[1278]	49	携
[1279]	24	宛
[1280]	4	杼
[1281]	21	己
[1282]	99	敢
[1283]	51	催
[1284]	58	齐
[1285]	19	着
[1286]	17	瓦
[1287]	17	盆
[1288]	3	轴
[1289]	57	桐
[1290]	31	柏
[1291]	60	避
[1292]	5	闹
[1293]	13	违
[1294]	32	懒
[1295]	4	诮
[1296]	135	关
[1297]	73	原
[1298]	2	隰
[1299]	35	丽
[1300]	65	积
[1301]	2	枚
[1302]	15	欠
[1303]	8	伸
[1304]	49	芦
[1305]	145	连
[1306]	75	净
[1307]	32	商
[1308]	41	绮
[1309]	48	密
[1310]	6	仑
[1311]	9	剖
[1312]	8	么
[1313]	4	讨
[1314]	3	瑕
[1315]	1	疵
[1316]	34	弃
[1317]	20	谋
[1318]	1	售
[1319]	36	计
[1320]	20	祖
[1321]	55	舍
[1322]	13	溅
[1323]	222	翠
[1324]	40	琼
[1325]	67	盈
[1326]	73	异
[1327]	26	刘
[1328]	7	释
[1329]	35	义
[1330]	5	潘
[1331]	5	议
[1332]	54	谈
[1333]	13	躯
[1334]	8	炼
[1335]	78	朱
[1336]	73	迹
[1337]	33	藕
[1338]	40	既
[1339]	38	鸳
[1340]	34	鸯
[1341]	23	茎
[1342]	101	六
[1343]	139	宫
[1344]	29	献
[1345]	47	沉
[1346]	53	钩
[1347]	4	醮
[1348]	29	甲
[1349]	10	刹
[1350]	24	遮
[1351]	88	钟
[1352]	39	翩
[1353]	9	幡
[1354]	18	薜
[1355]	16	朔
[1356]	15	劲
[1357]	8	漆
[1358]	2	尅
[1359]	49	精
[1360]	3	祛
[1361]	24	翼
[1362]	7	粒
[1363]	46	买
[1364]	60	英
[1365]	88	茅
[1366]	64	扶
[1367]	11	整
[1368]	27	葛
[1369]	17	麻
[1370]	29	姑
[1371]	16	袂
[1372]	24	米
[1373]	9	煌
[1374]	6	蕖
[1375]	23	承
[1376]	1	努
[1377]	2	拒
[1378]	13	姬
[1379]	25	冲
[1380]	22	槎
[1381]	45	命
[1382]	41	荣
[1383]	22	悴
[1384]	36	磨
[1385]	71	剑
[1386]	10	斲
[1387]	88	琴
[1388]	18	屐
[1389]	28	齿
[1390]	15	滑
[1391]	15	缀
[1392]	8	漙
[1393]	19	涌
[1394]	9	案
[1395]	1	旸
[1396]	64	桑
[1397]	28	株
[1398]	55	八
[1399]	12	央
[1400]	128	迟
[1401]	10	屯
[1402]	3	悉
[1403]	69	诸
[1404]	8	蠹
[1405]	11	晒
[1406]	16	偃
[1407]	66	个
[1408]	34	农
[1409]	3	舠
[1410]	14	陂
[1411]	78	源
[1412]	57	也
[1413]	133	画
[1414]	3	朦
[1415]	5	胧
[1416]	37	俯
[1417]	46	仰
[1418]	34	陈
[1419]	19	戍
[1420]	72	团
[1421]	14	绡
[1422]	52	写
[1423]	40	蝉
[1424]	32	雀
[1425]	43	炎
[1426]	22	掌
[1427]	10	握
[1428]	6	鹂
[1429]	5	吃
[1430]	29	刻
[1431]	23	翔
[1432]	28	冻
[1433]	33	暝
[1434]	19	筇
[1435]	13	麋
[1436]	28	打
[1437]	160	先
[1438]	32	业
[1439]	59	读
[1440]	15	私
[1441]	3	谥
[1442]	1	�
[1443]	1	��
[1444]	1	��
[1445]	78	放
[1446]	10	茸
[1447]	26	郊
[1448]	23	界
[1449]	2	漕
[1450]	33	号
[1451]	37	势
[1452]	24	忙
[1453]	13	患
[1454]	4	邂
[1455]	4	逅
[1456]	34	善
[1457]	2	攻
[1458]	19	区
[1459]	19	煮
[1460]	17	灌
[1461]	44	染
[1462]	28	斑
[1463]	40	梧
[1464]	84	斗
[1465]	67	床
[1466]	18	探
[1467]	66	棹
[1468]	25	赖
[1469]	14	炯
[1470]	5	蜕
[1471]	60	堕
[1472]	19	儒
[1473]	40	倦
[1474]	69	甘
[1475]	4	穰
[1476]	19	凰
[1477]	7	狼
[1478]	71	秦
[1479]	11	崇
[1480]	1	苛
[1481]	5	冤
[1482]	13	吊
[1483]	16	耻
[1484]	18	帐
[1485]	1	襺
[1486]	7	泄
[1487]	12	旁
[1488]	17	挟
[1489]	28	肉
[1490]	6	脸
[1491]	3	例
[1492]	10	模
[1493]	94	字
[1494]	26	虫
[1495]	22	坠
[1496]	4	烬
[1497]	8	筒
[1498]	21	捲
[1499]	13	绳
[1500]	42	栏
[1501]	124	紫
[1502]	22	玕
[1503]	105	亲
[1504]	24	服
[1505]	30	莱
[1506]	37	戏
[1507]	38	赋
[1508]	57	招
[1509]	4	滟
[1510]	2	铄
[1511]	7	帚
[1512]	18	夹
[1513]	35	误
[1514]	6	评
[1515]	12	拄
[1516]	16	提
[1517]	64	沧
[1518]	69	醒
[1519]	37	濯
[1520]	13	缨
[1521]	35	驾
[1522]	20	敬
[1523]	26	刺
[1524]	9	巉
[1525]	20	藓
[1526]	61	童
[1527]	1	崛
[1528]	28	渊
[1529]	3	勉
[1530]	26	切
[1531]	37	民
[1532]	34	社
[1533]	10	幻
[1534]	17	绛
[1535]	111	载
[1536]	19	话
[1537]	3	芗
[1538]	22	否
[1539]	38	笋
[1540]	5	册
[1541]	8	嵩
[1542]	5	芥
[1543]	44	孝
[1544]	17	慈
[1545]	11	霰
[1546]	3	璀
